SHARK_ID,DATE_CAP,DAYS_CAP,DATE_START,PAT_END,SPOT_END,DEPLOY_DAYS,PAT_MODEL,PAT_ID,PAT_PTT,PAT_DEPLOY_ID,PAT_MANUFACTURER_ID,SPOT_MODEL,SPOT_ID,SPOT_PTT,SPOT_DEPLOY_ID,SPOT_MANUFACTURER_ID,ACOUSTIC_ID,PAT_RECOVERY,PAT_DATA_TRANS,SPOT_DATA_TRANS,DATA_BINNED,DATA_TS,TBL_cm,SEX,INTERACTION,CAPTURE_GEAR,TARGET FISHERY,LOCATION_REL,LAT_REL,LON_REL,DIST_KM,LAT_END_PAT,LON_END_PAT,DIST_PAT,LAT_END_SPOT,LON_END_SPOT,DIST_SPOT,COMMENTS
08_13,23/08/2008,0,23/08/2008,9/10/2008,23/12/2008,122,MK10,06A0530,64271,08_13-64271,5ebecb246321be11dcc348f0,SPOT5,07S0288,77275,08_13-77275,5f0519b76321be0c6027e0b2,ND,NO,YES,YES,YES,NO,134,M,"fishery, commercial","gillnet, general",white sea bass,"Silver Strand State Beach, California, USA",34.147,-119.24,313,34.236,-119.805,52.9,32.082,-116.962,312.6,Killed of Ensenada ~ Dec 25 2008
08_17,16/10/2008,0,16/10/2008,21/01/2009,ND,97,MK10,06A1309,55732,08_17-55732,5f04bd666321be0c6027d2c5,ND,ND,ND,ND,ND,ND,NO,YES,ND,YES,NO,161,F,"fishery, commercial","gillnet, set",thresher shark,"Oceanside, California, USA",33.178,-117.425,1226,23.324,-111.798,1225.935,ND,ND,ND,
08_18,30/10/2008,0,30/10/2008,3/11/2008,DNT,4,MK10,06A1326,49719,08_18-49719,5660d8ed60d4250ff8468cba,SPOT5,07S0842,83074,08_18-83074,DNT,ND,NO,YES,NO,YES,NO,182,M,"fishery, commercial","gillnet, set",thresher shark,"Oceanside, California, USA",33.176,-117.422,1,33.169,-117.41,1.361,DNT,DNT,DNT,"Shark Died, mortality 4 days after release, no SPOT tag data"
09_04,28/05/2009,0,28/05/2009,13/08/2009,ND,77,MK10,05A0384,40560,09_04-40560,5f060d896321be0c6027fe7d,ND,ND,ND,ND,ND,ND,YES,YES,ND,YES,NO,144,F,"fishery, commercial","gillnet, set",halibut,"South Jetty Beach, California, USA",34.242,-119.288,73,33.875,-118.625,73.455,ND,ND,ND,
09_07,30/06/2009,0,30/06/2009,DNT,11/08/2009,42,MK10,08A0689,88773,09_07-88773,DNT,SPOT5,08S0742,89362,09_07-89362,5f0519cf6321be0c6027e185,ND,NO,NO,YES,YES,NO,150,F,"fishery, commercial","gillnet, drift",white sea bass,"South Jetty Beach, California, USA",34.242,-119.287,82,DNT,DNT,DNT,33.856,-118.523,82.4,"PAT tag never transmitted, tag not recovered"
09_09,16/07/2009,0,16/07/2009,25/11/2009,17/09/2009,132,MK10,08A0691,88775,09_09-88775,5f060dca6321be0c6027fe81,SPOT5,09S0207,95117,09_09-95117,5f0519ec6321be0c6027e1c3,ND,NO,YES,YES,YES,NO,168,M,"fishery, commercial","gillnet, drift",white sea bass,"South Jetty Beach, California, USA",34.235,-119.288,816,27.8,-115.165,816.096,34.036,-118.642,63.4,"Released off the southern tip of Isla Cedros, same shark as 09_09B"
09_09B,19/08/2010,0,19/08/2010,6/03/2011,ND,199,MK10,08A0714,88765,09_09B-88765,5f060efa6321be0c6027ff4d,ND,ND,ND,ND,ND,ND,NO,YES,ND,YES,NO,205,M,research,purse seine,NA,"Will Rogers Beach, California USA",34.013,-118.592,1392,23.015,-111.776,1391.519,ND,ND,ND,"Previously Tagged with SPOT tag and PAT, Got a new PAT, same shark as 09_09"
09_11,13/08/2009,0,13/08/2009,4/11/2009,ND,83,MK10,08A0709,88760,09_11-88760,DNT,ND,ND,ND,ND,ND,ND,YES,NO,ND,NO,NO,161,F,research,purse seine,NA,"Will Rogers Beach, California USA",34.016,-118.745,0,34.016,-118.745,0,ND,ND,ND,"Same shark as 09_11B, shark tagged while captive within the net pen, PAT tag not programmed to trasmit,  PAT tag replaced when released."
09_11B,13/08/2009,83,4/11/2009,2/03/2010,13/02/2010,118,MK10,06A1306,49706,09_11B-49706,5f060f196321be0c6027ffa7,SPOT5,09S0208,95118,09_11B-95118,5f051a0c6321be0c6027e26e,ND,NO,YES,YES,YES,NO,165,F,research,purse seine,NA,"Pacific Grove, California, USA",36.65,-121.95,1180,29.002,-115.119,1062.598,28.208,-114.309,1180.3,"Same shark as 09_11, but this tag reported 'wild' behavior and not activity in the pen"
09_12,14/08/2009,0,14/08/2009,28/08/2009,28/08/2009,14,MK10,08A0710,88761,09_12-88761,5f060f546321be0c6028008f,SPOT5,09S0200,95114,09_12-95114,5f051a4a6321be0c6027e2d9,ND,YES,YES,YES,YES,NO,141,M,"fishery, commercial","gillnet, set",halibut,"Oceanside, California, USA",33.183,-117.431,8,33.214,-117.478,5.568,33.243,-117.468,7.5,"Shark Died, it was Recaptured"
09_13,23/09/2009,0,23/09/2009,ND,23/11/2009,61,ND,ND,ND,ND,ND,SPOT5,07S0230,45866,09_13-45866,5f0668a86321be13bc7ef628,ND,ND,ND,YES,ND,ND,213,M,research,hook and line,NA,"Will Rogers Beach, California USA",34.03,-118.56,7,ND,ND,ND,33.972,-118.534,6.9,
09_14,23/09/2009,0,23/09/2009,ND,13/12/2009,81,ND,ND,ND,ND,ND,SPOT5,07S0231,45869,09_14-45869,5f0668aa6321be13bc7ef669,ND,ND,ND,YES,ND,ND,224,F,research,hook and line,NA,"Will Rogers Beach, California USA",34.03,-118.56,756,ND,ND,ND,28.267,-114.334,756.4,
09_15,26/09/2009,0,26/09/2009,15/03/2010,29/10/2009,170,MK10,08A0711,88762,09_15-88762,5ebecb586321be11dcc34afc,SPOT5,09S0205,95115,09_15-95115,5f0521896321be0c6027e355,ND,YES,YES,YES,YES,NO,224,M,research,hook and line,NA,"San Onofre, California, USA",33.363,-117.567,208,33.352,-117.531,3.56,34.185,-119.589,208,
10_05,14/06/2010,0,14/06/2010,27/06/2010,ND,13,MK10,08A0710,88761,10_05-88761,5f0640836321be13bc7eef27,ND,ND,ND,ND,ND,ND,YES,NO,ND,YES,NO,138,F,"fishery, commercial",hook and line,misc. sharks,"Harbor Cove Beach, California, USA",34.245,-119.277,5,34.214,-119.322,5.342,ND,ND,ND,"Tag Found in Net, but the shark got away"
10_07,2/07/2010,0,2/07/2010,13/07/2010,ND,11,MK10,08A0688,88772,10_07-88772,5f0640a36321be13bc7eef29,ND,ND,ND,ND,ND,ND,YES,YES,ND,YES,NO,147,M,"fishery, commercial","gillnet, set",halibut,"South Jetty Beach, California, USA",34.241,-119.281,1,34.236,-119.268,1.301,ND,ND,ND,
